# Accelerometer Data File
# Started @Sat Jul 02 13:46:35 EDT 2016
#
#
# sensor Vendor: ST Micro
# sensor Name: LIS3DH 3-axis Accelerometer
# sensor Resolution: 0.0047900393m/sec^2; Max Range: 156.96; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:UI
# units set to: Gravity
# gravity NOT filtered out
# Accuracy: HIGH
-0.114 1.302 9.5 0
-0.153 1.302 9.634 40
-0.172 1.264 9.653 40
-0.038 1.149 9.691 40
0.038 1.053 9.768 40
0.0 1.015 9.806 40
-0.076 1.034 9.768 40
-0.114 1.11 9.653 41
-0.095 1.091 9.576 41
-0.038 1.053 9.615 39
0.019 1.091 9.615 40
0.019 1.11 9.71 40
-0.038 1.053 9.634 40
-0.019 0.976 9.691 41
-0.038 1.015 9.672 40
-0.019 1.053 9.691 40
0.019 0.976 9.787 40
0.038 0.957 9.71 40
0.0 0.995 9.691 40
-0.019 0.995 9.71 40
0.0 0.995 9.691 41
0.0 1.015 9.615 40
-0.038 0.995 9.595 40
-0.057 0.938 9.73 40
-0.095 0.976 9.691 40
-0.057 0.957 9.653 40
-0.038 0.976 9.653 40
-0.057 0.957 9.653 40
-0.057 0.938 9.653 41
-0.019 0.995 9.538 40
0.019 0.995 9.5 40
0.019 0.9 9.595 40
-0.038 0.881 9.73 40
-0.076 0.861 9.749 40
-0.076 0.881 9.749 41
-0.076 0.938 9.806 40
-0.076 1.015 9.73 40
-0.095 1.015 9.71 40
-0.095 0.976 9.634 40
-0.057 0.957 9.634 40
-0.019 0.957 9.71 40
-0.019 0.938 9.787 40
-0.019 0.9 9.73 41
-0.114 0.976 9.73 40
-0.172 0.995 9.73 40
-0.172 0.995 9.672 40
-0.134 0.976 9.653 40
-0.134 0.976 9.691 40
-0.114 0.995 9.73 40
-0.095 0.976 9.691 41
-0.114 0.957 9.73 40
-0.114 0.919 9.691 40
-0.095 0.976 9.615 40
-0.114 1.015 9.634 40
-0.134 0.957 9.71 40
-0.134 0.976 9.691 41
-0.134 0.995 9.71 40
-0.114 0.957 9.672 41
-0.114 0.995 9.71 39
-0.153 0.995 9.691 40
-0.057 0.976 9.595 40
-0.076 0.976 9.615 40
-0.229 1.015 9.71 41
-0.287 1.11 9.672 40
-0.287 1.091 9.71 40
-0.287 1.053 9.73 40
-0.268 1.053 9.71 40
-0.21 1.053 9.691 40
-0.21 1.034 9.634 40
-0.21 1.053 9.595 41
-0.21 0.976 9.653 40
-0.191 1.015 9.672 40
-0.172 0.995 9.71 40
-0.191 0.976 9.653 40
-0.229 0.957 9.595 40
-0.229 0.995 9.653 40
-0.229 0.957 9.71 41
-0.191 0.976 9.73 40
-0.172 1.015 9.672 40
-0.095 1.015 9.615 40
-0.153 0.995 9.672 40
-0.172 0.957 9.73 40
-0.153 0.9 9.691 40
-0.248 0.957 9.691 41
-0.268 1.072 9.71 40
-0.268 1.034 9.634 40
-0.21 0.995 9.73 40
-0.21 0.957 9.768 40
-0.248 0.995 9.691 41
-0.191 0.976 9.634 39
-0.153 0.938 9.634 41
-0.229 1.015 9.615 40
-0.248 1.034 9.653 40
-0.21 0.976 9.691 40
-0.229 0.919 9.71 40
-0.229 0.976 9.672 41
-0.287 0.995 9.73 39
-0.344 1.091 9.749 41
-0.268 0.995 9.691 40
-0.229 0.881 9.672 40
-0.21 0.861 9.71 40
-0.21 0.9 9.71 40
-0.153 0.957 9.71 40
-0.172 0.938 9.73 41
-0.134 0.938 9.71 40
-0.21 0.957 9.634 40
-0.268 1.015 9.634 40
-0.229 0.957 9.71 40
-0.191 0.995 9.71 40
-0.153 0.995 9.653 40
-0.191 1.015 9.634 41
-0.172 0.919 9.749 40
-0.153 0.9 9.787 40
-0.191 0.9 9.806 40
-0.172 0.881 9.768 40
-0.172 0.861 9.73 40
-0.172 0.823 9.71 41
-0.153 0.938 9.691 40
