# Accelerometer Data File
# Started @Sat Jul 02 13:44:34 EDT 2016
#
#
# sensor Vendor: ST Micro
# sensor Name: LIS3DH 3-axis Accelerometer
# sensor Resolution: 0.0047900393m/sec^2; Max Range: 156.96; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:UI
# units set to: Gravity
# gravity NOT filtered out
# Accuracy: HIGH
-0.689 0.517 9.749 0
-0.67 0.517 9.73 40
-0.612 0.421 9.71 40
-0.612 0.421 9.73 40
-0.632 0.421 9.749 40
-0.593 0.402 9.73 40
-0.612 0.383 9.749 40
-0.612 0.402 9.71 41
-0.632 0.402 9.672 40
-0.632 0.421 9.749 40
-0.67 0.421 9.806 40
-0.651 0.44 9.787 40
-0.612 0.421 9.768 40
-0.593 0.421 9.71 40
-0.612 0.344 9.749 41
-0.632 0.363 9.73 40
-0.612 0.402 9.73 40
-0.708 0.478 9.768 40
-0.689 0.44 9.768 40
-0.632 0.402 9.768 40
-0.708 0.402 9.787 41
-0.785 0.402 9.844 40
-0.67 0.44 9.768 40
-0.651 0.421 9.691 40
-0.766 0.478 9.672 40
-0.823 0.44 9.806 40
-0.823 0.421 9.844 40
-0.785 0.421 9.787 41
-0.785 0.402 9.749 40
-0.746 0.383 9.71 40
-0.804 0.383 9.672 40
-0.919 0.478 9.653 40
-0.861 0.383 9.749 40
-0.881 0.421 9.806 40
-0.9 0.344 9.749 41
-0.881 0.383 9.71 40
-0.842 0.44 9.691 40
-0.9 0.44 9.672 40
-0.9 0.44 9.691 40
-0.842 0.459 9.73 40
-0.9 0.402 9.71 40
-0.957 0.421 9.71 40
-0.9 0.44 9.672 41
-0.881 0.44 9.653 40
-0.919 0.44 9.73 40
-0.9 0.459 9.71 40
-0.919 0.497 9.691 40
-0.919 0.593 9.691 40
-0.957 0.555 9.768 40
-0.938 0.593 9.768 41
-0.938 0.67 9.691 40
-0.9 0.632 9.634 40
-0.919 0.67 9.615 40
-0.881 0.708 9.73 40
-0.938 0.632 9.787 41
-0.881 0.612 9.691 39
-0.9 0.651 9.73 41
-0.976 0.612 9.768 40
-0.957 0.593 9.691 40
-0.938 0.651 9.691 40
-0.881 0.612 9.691 40
-0.861 0.593 9.691 40
-0.881 0.612 9.653 41
-0.938 0.593 9.653 40
-0.957 0.612 9.73 40
-0.861 0.651 9.73 40
-0.881 0.632 9.73 40
-0.842 0.593 9.73 40
-0.881 0.536 9.73 40
-0.9 0.555 9.672 41
-0.919 0.517 9.691 40
-0.938 0.536 9.615 40
-0.746 0.459 9.672 40
-0.727 0.421 9.653 40
-0.766 0.421 9.672 40
-0.708 0.478 9.71 41
-0.689 0.497 9.749 40
-0.708 0.497 9.768 40
-0.67 0.459 9.806 40
-0.689 0.517 9.71 40
-0.689 0.517 9.691 40
-0.689 0.517 9.672 40
-0.708 0.459 9.73 41
-0.689 0.517 9.71 40
-0.766 0.517 9.768 40
-0.708 0.555 9.71 41
-0.689 0.612 9.691 40
-0.746 0.555 9.71 40
-0.766 0.555 9.691 40
-0.766 0.536 9.749 40
-0.746 0.593 9.749 40
-0.727 0.555 9.787 40
-0.708 0.517 9.691 40
-0.727 0.555 9.615 40
-0.785 0.555 9.672 40
-0.785 0.536 9.749 40
-0.746 0.517 9.73 41
-0.746 0.517 9.691 40
-0.746 0.459 9.634 40
-0.881 0.421 9.634 40
-1.015 0.632 9.634 40
-1.168 0.632 9.71 41
-1.206 0.766 9.749 40
-1.321 0.919 9.615 40
-1.513 1.034 9.538 40
-1.589 0.938 9.461 40
-1.953 0.861 9.385 40
-2.24 0.823 9.385 41
-2.375 0.708 9.308 40
-2.643 0.823 9.308 40
-3.236 0.861 9.212 40
-3.696 0.861 9.232 40
-3.964 0.842 9.117 40
-4.29 0.708 8.868 40
-4.616 0.842 8.427 41
-4.826 0.766 8.274 40
-5.171 0.574 8.082 40
-5.477 0.689 7.795 40
-5.822 0.746 7.623 40
-6.148 0.804 7.24 40
-6.416 0.727 7.048 40
-6.703 0.574 6.818 40
-7.067 0.651 6.493 40
-7.259 0.555 6.244 41
-7.335 0.497 5.88 40
-7.661 0.536 5.573 40
-7.814 0.497 5.305 40
-7.929 0.497 5.037 40
-8.312 0.651 5.018 40
